DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1987-06-30,MASSACHUSETTS,MASSACHUSETTS,FIRST CIRCUIT,0
1987-06-30,MICHIGAN EASTERN,MICHIGAN,SIXTH CIRCUIT,36
1987-06-30,MICHIGAN WESTERN,MICHIGAN,SIXTH CIRCUIT,45
1987-06-30,MINNESOTA,MINNESOTA,EIGHTH CIRCUIT,44
1987-06-30,MISSISSIPPI NORTHERN,MISSISSIPPI,FIFTH CIRCUIT,32
1987-06-30,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,14
1987-06-30,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,31
1987-06-30,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,60
1987-06-30,MONTANA,MONTANA,NINTH CIRCUIT,35
1987-06-30,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,167
1987-06-30,NEVADA,NEVADA,NINTH CIRCUIT,0
1987-06-30,NEW HAMPSHIRE,NEW HAMPSHIRE,FIRST CIRCUIT,0
1987-06-30,NEW JERSEY,NEW JERSEY,THIRD CIRCUIT,-1
1987-06-30,NEW MEXICO,NEW MEXICO,TENTH CIRCUIT,12
1987-06-30,NEW YORK EASTERN,NEW YORK,SECOND CIRCUIT,0
1987-06-30,NEW YORK NORTHERN,NEW YORK,SECOND CIRCUIT,9
1987-06-30,NEW YORK SOUTHERN,NEW YORK,SECOND CIRCUIT,1
1987-06-30,NEW YORK WESTERN,NEW YORK,SECOND CIRCUIT,10
1987-06-30,NORTH CAROLINA EASTERN,NORTH CAROLINA,FOURTH CIRCUIT,34
1987-06-30,NORTH CAROLINA MIDDLE,NORTH CAROLINA,FOURTH CIRCUIT,8
1987-06-30,NORTH CAROLINA WESTERN,NORTH CAROLINA,FOURTH CIRCUIT,5
1987-06-30,NORTH DAKOTA,NORTH DAKOTA,EIGHTH CIRCUIT,38
1987-06-30,NORTHERN MARIANAS,NORTHERN MARIANA ISLANDS,NINTH CIRCUIT,0
1987-06-30,OHIO NORTHERN,OHIO,SIXTH CIRCUIT,30
1987-06-30,OHIO SOUTHERN,OHIO,SIXTH CIRCUIT,40
1987-06-30,OKLAHOMA EASTERN,OKLAHOMA,TENTH CIRCUIT,11
