DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1996-06-30,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,3
1996-06-30,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,2
1996-06-30,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,5
1996-06-30,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,2
1996-06-30,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,0
1996-06-30,WEST VIRGINIA SOUTHERN,WEST VIRGINIA,FOURTH CIRCUIT,0
1996-06-30,WISCONSIN EASTERN,WISCONSIN,SEVENTH CIRCUIT,6
1996-06-30,WISCONSIN WESTERN,WISCONSIN,SEVENTH CIRCUIT,8
1996-06-30,WYOMING,WYOMING,TENTH CIRCUIT,1
1996-09-30,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,1
1996-09-30,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,0
1996-09-30,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,1
1996-09-30,ALASKA,ALASKA,NINTH CIRCUIT,0
1996-09-30,ARIZONA,ARIZONA,NINTH CIRCUIT,1
1996-09-30,ARKANSAS,ARKANSAS,EIGHTH CIRCUIT,0
1996-09-30,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,3
1996-09-30,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,0
1996-09-30,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,1
1996-09-30,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,11
1996-09-30,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,3
1996-09-30,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,1
1996-09-30,COLORADO,COLORADO,TENTH CIRCUIT,3
1996-09-30,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,0
1996-09-30,DELAWARE,DELAWARE,THIRD CIRCUIT,1
1996-09-30,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,0
1996-09-30,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,4
1996-09-30,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,0
1996-09-30,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,0
1996-09-30,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,10
1996-09-30,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,1
1996-09-30,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,0
1996-09-30,GUAM,GUAM,NINTH CIRCUIT,0
1996-09-30,HAWAII,HAWAII,NINTH CIRCUIT,0
1996-09-30,IDAHO,IDAHO,NINTH CIRCUIT,7
1996-09-30,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,2
1996-09-30,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,0
1996-09-30,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,3
1996-09-30,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,1
1996-09-30,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,1
1996-09-30,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,3
1996-09-30,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,1
1996-09-30,KANSAS,KANSAS,TENTH CIRCUIT,7
1996-09-30,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,3
1996-09-30,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,2
1996-09-30,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,0
