DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2013-02-28,MINNESOTA,MINNESOTA,EIGHTH CIRCUIT,1123,930,9,0,184,47,37,9,0,1,1076,893,0,183
2013-02-28,MISSISSIPPI NORTHERN,MISSISSIPPI,FIFTH CIRCUIT,471,240,3,0,228,10,6,3,0,1,461,234,0,227
2013-02-28,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,580,329,3,0,248,15,12,3,0,0,565,317,0,248
2013-02-28,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,1059,743,3,0,313,16,12,3,0,1,1043,731,0,312
2013-02-28,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,659,474,3,0,182,12,9,2,0,1,647,465,1,181
2013-02-28,MONTANA,MONTANA,NINTH CIRCUIT,158,130,1,0,27,10,5,1,0,4,148,125,0,23
2013-02-28,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,421,296,12,1,112,22,9,11,1,1,399,287,1,111
2013-02-28,NEVADA,NEVADA,NINTH CIRCUIT,1116,915,32,0,169,47,27,19,0,1,1069,888,13,168
2013-02-28,NEW HAMPSHIRE,NEW HAMPSHIRE,FIRST CIRCUIT,246,176,4,0,66,24,9,2,0,13,222,167,2,53
2013-02-28,NEW JERSEY,NEW JERSEY,THIRD CIRCUIT,2244,1734,35,0,475,98,59,31,0,8,2146,1675,4,467
2013-02-28,NEW MEXICO,NEW MEXICO,TENTH CIRCUIT,383,354,3,0,26,12,10,2,0,0,371,344,1,26
2013-02-28,NEW YORK EASTERN,NEW YORK,SECOND CIRCUIT,1072,957,17,0,98,49,32,16,0,1,1023,925,1,97
2013-02-28,NEW YORK NORTHERN,NEW YORK,SECOND CIRCUIT,602,463,6,1,132,18,9,6,1,2,584,454,0,130
2013-02-28,NEW YORK SOUTHERN,NEW YORK,SECOND CIRCUIT,738,557,54,0,123,88,28,53,0,3,650,529,1,120
2013-02-28,NEW YORK WESTERN,NEW YORK,SECOND CIRCUIT,421,286,0,0,135,11,8,0,0,3,410,278,0,132
2013-02-28,NORTH CAROLINA EASTERN,NORTH CAROLINA,FOURTH CIRCUIT,645,194,13,0,438,22,10,11,0,1,623,184,2,437
2013-02-28,NORTH CAROLINA MIDDLE,NORTH CAROLINA,FOURTH CIRCUIT,417,179,3,0,235,19,15,3,0,1,398,164,0,234
2013-02-28,NORTH CAROLINA WESTERN,NORTH CAROLINA,FOURTH CIRCUIT,488,287,3,1,197,14,8,3,1,2,474,279,0,195
2013-02-28,NORTH DAKOTA,NORTH DAKOTA,EIGHTH CIRCUIT,64,55,0,0,9,4,3,0,0,1,60,52,0,8
2013-02-28,NORTHERN MARIANAS,NORTHERN MARIANA ISLANDS,NINTH CIRCUIT,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2013-02-28,OHIO NORTHERN,OHIO,SIXTH CIRCUIT,1860,1529,4,1,326,37,29,4,1,3,1823,1500,0,323
2013-02-28,OHIO SOUTHERN,OHIO,SIXTH CIRCUIT,1658,1140,1,0,517,45,40,1,0,4,1613,1100,0,513
2013-02-28,OKLAHOMA EASTERN,OKLAHOMA,TENTH CIRCUIT,120,108,0,0,12,0,0,0,0,0,120,108,0,12
2013-02-28,OKLAHOMA NORTHERN,OKLAHOMA,TENTH CIRCUIT,251,219,0,1,31,4,2,0,1,1,247,217,0,30
2013-02-28,OKLAHOMA WESTERN,OKLAHOMA,TENTH CIRCUIT,435,342,3,1,89,21,14,3,1,3,414,328,0,86
2013-02-28,OREGON,OREGON,NINTH CIRCUIT,940,743,2,2,193,26,19,2,2,3,914,724,0,190
2013-02-28,PENNSYLVANIA EASTERN,PENNSYLVANIA,THIRD CIRCUIT,932,573,20,0,339,47,23,20,0,4,885,550,0,335
2013-02-28,PENNSYLVANIA MIDDLE,PENNSYLVANIA,THIRD CIRCUIT,535,353,2,0,180,14,9,2,0,3,521,344,0,177
2013-02-28,PENNSYLVANIA WESTERN,PENNSYLVANIA,THIRD CIRCUIT,666,460,11,1,194,31,16,10,1,4,635,444,1,190
2013-02-28,PUERTO RICO,PUERTO RICO,FIRST CIRCUIT,857,306,11,3,537,34,19,10,3,2,823,287,1,535
2013-02-28,RHODE ISLAND,RHODE ISLAND,FIRST CIRCUIT,257,232,0,0,25,7,7,0,0,0,250,225,0,25
2013-02-28,SOUTH CAROLINA,SOUTH CAROLINA,FOURTH CIRCUIT,592,243,8,0,341,14,8,6,0,0,578,235,2,341
2013-02-28,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,101,90,0,1,10,6,2,0,1,3,95,88,0,7
2013-02-28,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,1167,724,8,1,434,20,11,8,1,0,1147,713,0,434
2013-02-28,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,1030,678,3,1,348,22,20,1,1,0,1008,658,2,348
2013-02-28,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,1458,502,16,0,940,23,7,14,0,2,1435,495,2,938
2013-02-28,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,498,211,7,0,280,28,20,7,0,1,470,191,0,279
2013-02-28,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,1223,494,13,0,716,54,37,11,0,6,1169,457,2,710
2013-02-28,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,879,310,8,0,561,43,30,8,0,5,836,280,0,556
2013-02-28,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,822,418,17,0,387,53,32,15,0,6,769,386,2,381
2013-02-28,UTAH,UTAH,TENTH CIRCUIT,1009,639,2,0,368,24,18,2,0,4,985,621,0,364
2013-02-28,VERMONT,VERMONT,SECOND CIRCUIT,80,62,0,0,18,0,0,0,0,0,80,62,0,18
2013-02-28,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-28,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,1586,966,10,0,610,24,16,7,0,1,1562,950,3,609
2013-02-28,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,531,372,3,0,156,11,7,3,0,1,520,365,0,155
2013-02-28,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,485,386,5,0,94,15,10,4,0,1,470,376,1,93
2013-02-28,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,1633,1290,9,0,332,48,38,6,0,2,1585,1252,3,330
