DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2001-03-31,OKLAHOMA NORTHERN,OKLAHOMA,TENTH CIRCUIT,1470,1325,4,0,141,122,108,3,0,11,1348,1217,1,130
2001-03-31,OKLAHOMA WESTERN,OKLAHOMA,TENTH CIRCUIT,3206,2636,8,0,562,95,71,8,0,16,3111,2565,0,546
2001-03-31,OREGON,OREGON,NINTH CIRCUIT,5109,4311,8,0,790,311,134,8,0,169,4798,4177,0,621
2001-03-31,PENNSYLVANIA EASTERN,PENNSYLVANIA,THIRD CIRCUIT,6286,3727,48,0,2511,91,43,47,0,1,6195,3684,1,2510
2001-03-31,PENNSYLVANIA MIDDLE,PENNSYLVANIA,THIRD CIRCUIT,3154,2520,12,0,622,179,124,11,0,44,2975,2396,1,578
2001-03-31,PENNSYLVANIA WESTERN,PENNSYLVANIA,THIRD CIRCUIT,4051,3524,36,0,491,111,71,34,0,6,3940,3453,2,485
2001-03-31,PUERTO RICO,PUERTO RICO,FIRST CIRCUIT,3793,1061,23,0,2709,57,40,16,0,1,3736,1021,7,2708
2001-03-31,RHODE ISLAND,RHODE ISLAND,FIRST CIRCUIT,1306,1197,6,0,103,20,14,5,0,1,1286,1183,1,102
2001-03-31,SOUTH CAROLINA,SOUTH CAROLINA,FOURTH CIRCUIT,3402,1646,19,0,1737,26,11,14,0,1,3376,1635,5,1736
2001-03-31,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,612,585,4,0,23,40,33,3,0,4,572,552,1,19
2001-03-31,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,4904,3104,18,0,1782,103,70,15,0,18,4801,3034,3,1764
2001-03-31,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,3750,2431,30,0,1289,52,25,23,0,4,3698,2406,7,1285
2001-03-31,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,6203,1893,52,0,4258,74,15,48,0,11,6129,1878,4,4247
2001-03-31,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,2660,1488,19,0,1153,102,52,18,0,32,2558,1436,1,1121
2001-03-31,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,6554,3522,99,0,2933,276,132,98,0,46,6278,3390,1,2887
2001-03-31,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,4946,2821,89,0,2036,272,128,87,0,57,4674,2693,2,1979
2001-03-31,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,4620,2621,57,0,1942,130,60,51,0,19,4490,2561,6,1923
2001-03-31,UTAH,UTAH,TENTH CIRCUIT,4511,2867,21,0,1623,112,69,20,0,23,4399,2798,1,1600
2001-03-31,VERMONT,VERMONT,SECOND CIRCUIT,439,389,1,1,48,17,12,1,1,3,422,377,0,45
2001-03-31,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,16,13,2,0,1,3,1,2,0,0,13,12,0,1
2001-03-31,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,7597,5506,48,0,2043,82,44,37,0,1,7515,5462,11,2042
2001-03-31,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,3184,2741,18,0,425,154,116,18,0,20,3030,2625,0,405
2001-03-31,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,2715,2020,8,0,687,73,56,4,0,13,2642,1964,4,674
2001-03-31,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,6793,5493,33,0,1267,79,46,30,0,3,6714,5447,3,1264
2001-03-31,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,1088,1029,5,0,54,43,32,5,0,6,1045,997,0,48
2001-03-31,WEST VIRGINIA SOUTHERN,WEST VIRGINIA,FOURTH CIRCUIT,1600,1512,5,0,83,46,32,5,0,9,1554,1480,0,74
2001-03-31,WISCONSIN EASTERN,WISCONSIN,SEVENTH CIRCUIT,3481,2844,3,0,634,59,51,3,0,5,3422,2793,0,629
2001-03-31,WISCONSIN WESTERN,WISCONSIN,SEVENTH CIRCUIT,1714,1508,13,0,193,115,95,10,0,10,1599,1413,3,183
2001-03-31,WYOMING,WYOMING,TENTH CIRCUIT,577,527,6,0,44,19,11,5,0,3,558,516,1,41
2001-06-30,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,1982,971,5,0,1006,44,29,5,0,10,1938,942,0,996
2001-06-30,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,6104,2788,22,0,3294,52,27,16,0,9,6052,2761,6,3285
2001-06-30,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,1689,786,12,0,891,25,9,11,0,5,1664,777,1,886
2001-06-30,ALASKA,ALASKA,NINTH CIRCUIT,412,373,6,0,33,30,21,6,0,3,382,352,0,30
2001-06-30,ARIZONA,ARIZONA,NINTH CIRCUIT,6799,5536,73,0,1188,186,104,61,0,21,6613,5432,12,1167
2001-06-30,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,3462,1926,8,0,1528,37,17,7,0,13,3425,1909,1,1515
2001-06-30,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,1999,1416,2,0,581,32,21,2,0,9,1967,1395,0,572
2001-06-30,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,24608,20820,137,1,3649,643,483,121,1,37,23965,20337,16,3612
2001-06-30,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,8800,7626,27,9,1138,327,233,24,9,61,8473,7393,3,1077
2001-06-30,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,5452,3969,55,2,1425,284,160,49,2,72,5168,3809,6,1353
2001-06-30,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,3756,3027,8,0,720,41,32,6,0,2,3715,2995,2,718
2001-06-30,COLORADO,COLORADO,TENTH CIRCUIT,5245,4634,29,0,582,112,81,29,0,2,5133,4553,0,580
2001-06-30,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,3337,2923,21,1,392,44,24,19,1,0,3293,2899,2,392
2001-06-30,DELAWARE,DELAWARE,THIRD CIRCUIT,1036,509,274,0,253,287,13,274,0,0,749,496,0,253
2001-06-30,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,691,485,10,0,196,11,1,10,0,0,680,484,0,196
2001-06-30,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,13525,10151,66,2,3306,264,169,58,2,35,13261,9982,8,3271
2001-06-30,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,1705,1381,18,1,305,36,15,17,1,3,1669,1366,1,302
2001-06-30,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,8924,6468,134,0,2322,230,105,124,0,1,8694,6363,10,2321
2001-06-30,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,4029,1758,18,17,2236,50,9,18,17,6,3979,1749,0,2230
2001-06-30,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,9184,4267,48,1,4868,236,117,45,1,73,8948,4150,3,4795
2001-06-30,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,3534,920,5,2,2607,28,12,5,2,9,3506,908,0,2598
2001-06-30,GUAM,GUAM,NINTH CIRCUIT,68,52,3,0,13,6,3,3,0,0,62,49,0,13
2001-06-30,HAWAII,HAWAII,NINTH CIRCUIT,1352,1216,3,0,133,18,14,3,0,1,1334,1202,0,132
2001-06-30,IDAHO,IDAHO,NINTH CIRCUIT,2365,2034,26,3,302,80,43,26,3,8,2285,1991,0,294
2001-06-30,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,3816,3280,4,7,525,48,32,4,7,5,3768,3248,0,520
2001-06-30,ILLINOIS NORTHERN,ILLINOIS,SEVENTH CIRCUIT,13251,9588,63,1,3599,196,130,57,1,8,13055,9458,6,3591
2001-06-30,ILLINOIS SOUTHERN,ILLINOIS,SEVENTH CIRCUIT,2284,1675,9,6,594,133,98,7,6,22,2151,1577,2,572
2001-06-30,INDIANA NORTHERN,INDIANA,SEVENTH CIRCUIT,5146,4392,16,0,738,41,23,14,0,4,5105,4369,2,734
2001-06-30,INDIANA SOUTHERN,INDIANA,SEVENTH CIRCUIT,8043,6410,27,1,1605,97,70,22,1,4,7946,6340,5,1601
2001-06-30,IOWA NORTHERN,IOWA,EIGHTH CIRCUIT,1330,1283,2,1,44,54,50,2,1,1,1276,1233,0,43
2001-06-30,IOWA SOUTHERN,IOWA,EIGHTH CIRCUIT,1891,1768,4,2,117,25,17,4,2,2,1866,1751,0,115
2001-06-30,KANSAS,KANSAS,TENTH CIRCUIT,3948,3343,13,5,587,52,30,12,5,5,3896,3313,1,582
2001-06-30,KENTUCKY EASTERN,KENTUCKY,SIXTH CIRCUIT,3145,2759,14,0,372,70,51,13,0,6,3075,2708,1,366
2001-06-30,KENTUCKY WESTERN,KENTUCKY,SIXTH CIRCUIT,3818,3165,10,0,643,30,19,10,0,1,3788,3146,0,642
2001-06-30,LOUISIANA EASTERN,LOUISIANA,FIFTH CIRCUIT,2918,2093,19,0,806,36,20,15,0,1,2882,2073,4,805
2001-06-30,LOUISIANA MIDDLE,LOUISIANA,FIFTH CIRCUIT,861,641,4,0,216,8,4,4,0,0,853,637,0,216
2001-06-30,LOUISIANA WESTERN,LOUISIANA,FIFTH CIRCUIT,3551,2027,11,1,1512,140,87,9,1,43,3411,1940,2,1469
2001-06-30,MAINE,MAINE,FIRST CIRCUIT,1364,1277,6,1,80,47,37,6,1,3,1317,1240,0,77
