STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM,DATE,month,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,TOTAL_OTHER,TOTAL_BCHAP_OTHER,CHAP_9,CHAP_15,OTHERS,QTR_ENDED,YEAR,FISCAL_YEAR,ST_ABRV
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1ST,2013-01-31,1,1009,792,9,1,207,35,23,4,1,7,974,769,5,200,NA,NA,NA,NA,NA,2013.1,2013,2013,MA
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,6TH,2013-01-31,1,2552,2078,9,3,462,49,33,6,3,7,2503,2045,3,455,NA,NA,NA,NA,NA,2013.1,2013,2013,MI
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,6TH,2013-01-31,1,807,664,2,1,140,27,23,2,1,1,780,641,0,139,NA,NA,NA,NA,NA,2013.1,2013,2013,MI
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,8TH,2013-01-31,1,1116,924,4,1,187,27,21,4,1,1,1089,903,0,186,NA,NA,NA,NA,NA,2013.1,2013,2013,MN
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,5TH,2013-01-31,1,369,155,1,0,213,9,7,1,0,1,360,148,0,212,NA,NA,NA,NA,NA,2013.1,2013,2013,MS
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,5TH,2013-01-31,1,512,283,3,0,226,20,17,3,0,0,492,266,0,226,NA,NA,NA,NA,NA,2013.1,2013,2013,MS
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,8TH,2013-01-31,1,969,650,1,0,318,18,16,1,0,1,951,634,0,317,NA,NA,NA,NA,NA,2013.1,2013,2013,MO
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,8TH,2013-01-31,1,745,520,7,0,218,22,15,6,0,1,723,505,1,217,NA,NA,NA,NA,NA,2013.1,2013,2013,MO
MONTANA,MONTANA,MT,NINTH CIRCUIT,9TH,2013-01-31,1,121,87,3,0,31,9,5,2,0,2,112,82,1,29,NA,NA,NA,NA,NA,2013.1,2013,2013,MT
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,8TH,2013-01-31,1,382,247,2,0,133,14,10,2,0,2,368,237,0,131,NA,NA,NA,NA,NA,2013.1,2013,2013,NE
NEVADA,NEVADA,NV,NINTH CIRCUIT,9TH,2013-01-31,1,1089,881,26,1,181,54,37,14,1,2,1035,844,12,179,NA,NA,NA,NA,NA,2013.1,2013,2013,NV
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1ST,2013-01-31,1,277,196,2,0,79,22,16,2,0,4,255,180,0,75,NA,NA,NA,NA,NA,2013.1,2013,2013,NH
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,3RD,2013-01-31,1,2184,1646,30,0,508,86,51,27,0,8,2098,1595,3,500,NA,NA,NA,NA,NA,2013.1,2013,2013,NJ
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,10TH,2013-01-31,1,297,262,4,0,31,18,15,3,0,0,279,247,1,31,NA,NA,NA,NA,NA,2013.1,2013,2013,NM
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,2ND,2013-01-31,1,1150,1017,19,0,110,45,21,19,0,1,1105,996,0,109,NA,NA,NA,NA,NA,2013.1,2013,2013,NY
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,2ND,2013-01-31,1,597,454,4,1,138,19,11,4,1,3,578,443,0,135,NA,NA,NA,NA,NA,2013.1,2013,2013,NY
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,2ND,2013-01-31,1,718,558,51,0,109,76,26,48,0,2,642,532,3,107,NA,NA,NA,NA,NA,2013.1,2013,2013,NY
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,2ND,2013-01-31,1,431,291,6,0,134,18,10,6,0,2,413,281,0,132,NA,NA,NA,NA,NA,2013.1,2013,2013,NY
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,4TH,2013-01-31,1,646,194,8,0,444,24,13,7,0,4,622,181,1,440,NA,NA,NA,NA,NA,2013.1,2013,2013,NC
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,4TH,2013-01-31,1,400,155,3,0,242,15,11,2,0,2,385,144,1,240,NA,NA,NA,NA,NA,2013.1,2013,2013,NC
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,4TH,2013-01-31,1,428,244,5,0,179,23,13,5,0,5,405,231,0,174,NA,NA,NA,NA,NA,2013.1,2013,2013,NC
