STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE,FISCAL_YEAR
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,28,09/30/92,1992-09-30,1992
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,4,09/30/92,1992-09-30,1992
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,2,09/30/92,1992-09-30,1992
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,38,09/30/92,1992-09-30,1992
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,13,09/30/92,1992-09-30,1992
,TOTAL,,TOTAL,1358,06/30/91,1991-06-30,1991
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/91,1991-06-30,1991
,TOTAL,,FIRST CIRCUIT,12,06/30/91,1991-06-30,1991
MAINE,MAINE,ME,FIRST CIRCUIT,0,06/30/91,1991-06-30,1991
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,2,06/30/91,1991-06-30,1991
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,06/30/91,1991-06-30,1991
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/91,1991-06-30,1991
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,9,06/30/91,1991-06-30,1991
,TOTAL,,SECOND CIRCUIT,32,06/30/91,1991-06-30,1991
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,06/30/91,1991-06-30,1991
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,10,06/30/91,1991-06-30,1991
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,06/30/91,1991-06-30,1991
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,2,06/30/91,1991-06-30,1991
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,8,06/30/91,1991-06-30,1991
VERMONT,VERMONT,VT,SECOND CIRCUIT,11,06/30/91,1991-06-30,1991
,TOTAL,,THIRD CIRCUIT,20,06/30/91,1991-06-30,1991
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,06/30/91,1991-06-30,1991
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,5,06/30/91,1991-06-30,1991
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,0,06/30/91,1991-06-30,1991
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,7,06/30/91,1991-06-30,1991
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,8,06/30/91,1991-06-30,1991
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/91,1991-06-30,1991
,TOTAL,,FOURTH CIRCUIT,46,06/30/91,1991-06-30,1991
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,5,06/30/91,1991-06-30,1991
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,17,06/30/91,1991-06-30,1991
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,3,06/30/91,1991-06-30,1991
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,7,06/30/91,1991-06-30,1991
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,5,06/30/91,1991-06-30,1991
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,2,06/30/91,1991-06-30,1991
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,5,06/30/91,1991-06-30,1991
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,06/30/91,1991-06-30,1991
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,06/30/91,1991-06-30,1991
,TOTAL,,FIFTH CIRCUIT,221,06/30/91,1991-06-30,1991
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3,06/30/91,1991-06-30,1991
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,2,06/30/91,1991-06-30,1991
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,72,06/30/91,1991-06-30,1991
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,32,06/30/91,1991-06-30,1991
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,7,06/30/91,1991-06-30,1991
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,56,06/30/91,1991-06-30,1991
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,11,06/30/91,1991-06-30,1991
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,15,06/30/91,1991-06-30,1991
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,23,06/30/91,1991-06-30,1991
,TOTAL,,SIXTH CIRCUIT,143,06/30/91,1991-06-30,1991
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,4,06/30/91,1991-06-30,1991
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,10,06/30/91,1991-06-30,1991
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,22,06/30/91,1991-06-30,1991
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,19,06/30/91,1991-06-30,1991
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,29,06/30/91,1991-06-30,1991
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,30,06/30/91,1991-06-30,1991
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,13,06/30/91,1991-06-30,1991
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,7,06/30/91,1991-06-30,1991
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,9,06/30/91,1991-06-30,1991
,TOTAL,,SEVENTH CIRCUIT,150,06/30/91,1991-06-30,1991
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,6,06/30/91,1991-06-30,1991
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,29,06/30/91,1991-06-30,1991
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,19,06/30/91,1991-06-30,1991
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,16,06/30/91,1991-06-30,1991
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,23,06/30/91,1991-06-30,1991
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,21,06/30/91,1991-06-30,1991
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,36,06/30/91,1991-06-30,1991
,TOTAL,,EIGHTH CIRCUIT,283,06/30/91,1991-06-30,1991
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,17,06/30/91,1991-06-30,1991
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,17,06/30/91,1991-06-30,1991
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,13,06/30/91,1991-06-30,1991
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,8,06/30/91,1991-06-30,1991
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,41,06/30/91,1991-06-30,1991
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,6,06/30/91,1991-06-30,1991
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,26,06/30/91,1991-06-30,1991
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,66,06/30/91,1991-06-30,1991
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,42,06/30/91,1991-06-30,1991
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,47,06/30/91,1991-06-30,1991
,TOTAL,,NINTH CIRCUIT,203,06/30/91,1991-06-30,1991
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/91,1991-06-30,1991
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,20,06/30/91,1991-06-30,1991
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,5,06/30/91,1991-06-30,1991
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,34,06/30/91,1991-06-30,1991
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,4,06/30/91,1991-06-30,1991
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,4,06/30/91,1991-06-30,1991
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/91,1991-06-30,1991
IDAHO,IDAHO,ID,NINTH CIRCUIT,37,06/30/91,1991-06-30,1991
MONTANA,MONTANA,MT,NINTH CIRCUIT,44,06/30/91,1991-06-30,1991
NEVADA,NEVADA,NV,NINTH CIRCUIT,1,06/30/91,1991-06-30,1991
OREGON,OREGON,OR,NINTH CIRCUIT,14,06/30/91,1991-06-30,1991
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,35,06/30/91,1991-06-30,1991
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,5,06/30/91,1991-06-30,1991
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/91,1991-06-30,1991
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/91,1991-06-30,1991
,TOTAL,,TENTH CIRCUIT,128,06/30/91,1991-06-30,1991
COLORADO,COLORADO,CO,TENTH CIRCUIT,17,06/30/91,1991-06-30,1991
KANSAS,KANSAS,KS,TENTH CIRCUIT,27,06/30/91,1991-06-30,1991
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,6,06/30/91,1991-06-30,1991
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,4,06/30/91,1991-06-30,1991
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,13,06/30/91,1991-06-30,1991
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,48,06/30/91,1991-06-30,1991
UTAH,UTAH,UT,TENTH CIRCUIT,8,06/30/91,1991-06-30,1991
WYOMING,WYOMING,WY,TENTH CIRCUIT,5,06/30/91,1991-06-30,1991
,TOTAL,,ELEVENTH CIRCUIT,120,06/30/91,1991-06-30,1991
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,10,06/30/91,1991-06-30,1991
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,2,06/30/91,1991-06-30,1991
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4,06/30/91,1991-06-30,1991
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,16,06/30/91,1991-06-30,1991
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,15,06/30/91,1991-06-30,1991
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,5,06/30/91,1991-06-30,1991
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,4,06/30/91,1991-06-30,1991
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,36,06/30/91,1991-06-30,1991
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,28,06/30/91,1991-06-30,1991
,TOTAL,,TOTAL,1351,06/30/90,1990-06-30,1990
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/90,1990-06-30,1990
,TOTAL,,FIRST CIRCUIT,12,06/30/90,1990-06-30,1990
MAINE,MAINE,ME,FIRST CIRCUIT,0,06/30/90,1990-06-30,1990
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1,06/30/90,1990-06-30,1990
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,06/30/90,1990-06-30,1990
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/90,1990-06-30,1990
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,11,06/30/90,1990-06-30,1990
,TOTAL,,SECOND CIRCUIT,20,06/30/90,1990-06-30,1990
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,0,06/30/90,1990-06-30,1990
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,8,06/30/90,1990-06-30,1990
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,06/30/90,1990-06-30,1990
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,1,06/30/90,1990-06-30,1990
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,8,06/30/90,1990-06-30,1990
VERMONT,VERMONT,VT,SECOND CIRCUIT,3,06/30/90,1990-06-30,1990
,TOTAL,,THIRD CIRCUIT,6,06/30/90,1990-06-30,1990
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,06/30/90,1990-06-30,1990
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,1,06/30/90,1990-06-30,1990
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,1,06/30/90,1990-06-30,1990
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,2,06/30/90,1990-06-30,1990
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,2,06/30/90,1990-06-30,1990
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/90,1990-06-30,1990
,TOTAL,,FOURTH CIRCUIT,39,06/30/90,1990-06-30,1990
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,2,06/30/90,1990-06-30,1990
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,24,06/30/90,1990-06-30,1990
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,3,06/30/90,1990-06-30,1990
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,0,06/30/90,1990-06-30,1990
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,4,06/30/90,1990-06-30,1990
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,2,06/30/90,1990-06-30,1990
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,3,06/30/90,1990-06-30,1990
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,0,06/30/90,1990-06-30,1990
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,06/30/90,1990-06-30,1990
,TOTAL,,FIFTH CIRCUIT,196,06/30/90,1990-06-30,1990
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,06/30/90,1990-06-30,1990
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,3,06/30/90,1990-06-30,1990
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,65,06/30/90,1990-06-30,1990
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,18,06/30/90,1990-06-30,1990
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,15,06/30/90,1990-06-30,1990
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,63,06/30/90,1990-06-30,1990
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,5,06/30/90,1990-06-30,1990
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,15,06/30/90,1990-06-30,1990
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,12,06/30/90,1990-06-30,1990
,TOTAL,,SIXTH CIRCUIT,137,06/30/90,1990-06-30,1990
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,9,06/30/90,1990-06-30,1990
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,13,06/30/90,1990-06-30,1990
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,19,06/30/90,1990-06-30,1990
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,19,06/30/90,1990-06-30,1990
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,33,06/30/90,1990-06-30,1990
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,26,06/30/90,1990-06-30,1990
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,7,06/30/90,1990-06-30,1990
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,5,06/30/90,1990-06-30,1990
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,6,06/30/90,1990-06-30,1990
,TOTAL,,SEVENTH CIRCUIT,141,06/30/90,1990-06-30,1990
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,4,06/30/90,1990-06-30,1990
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,35,06/30/90,1990-06-30,1990
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,22,06/30/90,1990-06-30,1990
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,11,06/30/90,1990-06-30,1990
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,25,06/30/90,1990-06-30,1990
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,12,06/30/90,1990-06-30,1990
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,32,06/30/90,1990-06-30,1990
,TOTAL,,EIGHTH CIRCUIT,367,06/30/90,1990-06-30,1990
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,21,06/30/90,1990-06-30,1990
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,9,06/30/90,1990-06-30,1990
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,28,06/30/90,1990-06-30,1990
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,9,06/30/90,1990-06-30,1990
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,37,06/30/90,1990-06-30,1990
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,11,06/30/90,1990-06-30,1990
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,45,06/30/90,1990-06-30,1990
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,79,06/30/90,1990-06-30,1990
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,53,06/30/90,1990-06-30,1990
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,75,06/30/90,1990-06-30,1990
,TOTAL,,NINTH CIRCUIT,205,06/30/90,1990-06-30,1990
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/90,1990-06-30,1990
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,3,06/30/90,1990-06-30,1990
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,6,06/30/90,1990-06-30,1990
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,36,06/30/90,1990-06-30,1990
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,6,06/30/90,1990-06-30,1990
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,3,06/30/90,1990-06-30,1990
HAWAII,HAWAII,HI,NINTH CIRCUIT,1,06/30/90,1990-06-30,1990
IDAHO,IDAHO,ID,NINTH CIRCUIT,27,06/30/90,1990-06-30,1990
MONTANA,MONTANA,MT,NINTH CIRCUIT,54,06/30/90,1990-06-30,1990
NEVADA,NEVADA,NV,NINTH CIRCUIT,3,06/30/90,1990-06-30,1990
OREGON,OREGON,OR,NINTH CIRCUIT,30,06/30/90,1990-06-30,1990
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,30,06/30/90,1990-06-30,1990
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,6,06/30/90,1990-06-30,1990
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/90,1990-06-30,1990
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/90,1990-06-30,1990
,TOTAL,,TENTH CIRCUIT,138,06/30/90,1990-06-30,1990
COLORADO,COLORADO,CO,TENTH CIRCUIT,34,06/30/90,1990-06-30,1990
KANSAS,KANSAS,KS,TENTH CIRCUIT,32,06/30/90,1990-06-30,1990
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,5,06/30/90,1990-06-30,1990
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,1,06/30/90,1990-06-30,1990
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,9,06/30/90,1990-06-30,1990
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,46,06/30/90,1990-06-30,1990
UTAH,UTAH,UT,TENTH CIRCUIT,6,06/30/90,1990-06-30,1990
WYOMING,WYOMING,WY,TENTH CIRCUIT,5,06/30/90,1990-06-30,1990
,TOTAL,,ELEVENTH CIRCUIT,90,06/30/90,1990-06-30,1990
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,10,06/30/90,1990-06-30,1990
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,8,06/30/90,1990-06-30,1990
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,3,06/30/90,1990-06-30,1990
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,7,06/30/90,1990-06-30,1990
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11,06/30/90,1990-06-30,1990
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,1,06/30/90,1990-06-30,1990
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,3,06/30/90,1990-06-30,1990
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,34,06/30/90,1990-06-30,1990
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,13,06/30/90,1990-06-30,1990
,TOTAL,,TOTAL,1717,06/30/89,1989-06-30,1989
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/89,1989-06-30,1989
,TOTAL,,FIRST CIRCUIT,6,06/30/89,1989-06-30,1989
MAINE,MAINE,ME,FIRST CIRCUIT,0,06/30/89,1989-06-30,1989
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,06/30/89,1989-06-30,1989
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,06/30/89,1989-06-30,1989
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/89,1989-06-30,1989
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,6,06/30/89,1989-06-30,1989
,TOTAL,,SECOND CIRCUIT,25,06/30/89,1989-06-30,1989
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,0,06/30/89,1989-06-30,1989
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,9,06/30/89,1989-06-30,1989
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,3,06/30/89,1989-06-30,1989
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,06/30/89,1989-06-30,1989
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,7,06/30/89,1989-06-30,1989
VERMONT,VERMONT,VT,SECOND CIRCUIT,6,06/30/89,1989-06-30,1989
,TOTAL,,THIRD CIRCUIT,9,06/30/89,1989-06-30,1989
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,1,06/30/89,1989-06-30,1989
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,5,06/30/89,1989-06-30,1989
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,0,06/30/89,1989-06-30,1989
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,1,06/30/89,1989-06-30,1989
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,2,06/30/89,1989-06-30,1989
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/89,1989-06-30,1989
,TOTAL,,FOURTH CIRCUIT,47,06/30/89,1989-06-30,1989
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,2,06/30/89,1989-06-30,1989
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,13,06/30/89,1989-06-30,1989
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,3,06/30/89,1989-06-30,1989
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,4,06/30/89,1989-06-30,1989
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,14,06/30/89,1989-06-30,1989
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,3,06/30/89,1989-06-30,1989
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,5,06/30/89,1989-06-30,1989
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,2,06/30/89,1989-06-30,1989
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,06/30/89,1989-06-30,1989
,TOTAL,,FIFTH CIRCUIT,175,06/30/89,1989-06-30,1989
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,0,06/30/89,1989-06-30,1989
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,1,06/30/89,1989-06-30,1989
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,53,06/30/89,1989-06-30,1989
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,23,06/30/89,1989-06-30,1989
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,8,06/30/89,1989-06-30,1989
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,56,06/30/89,1989-06-30,1989
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,11,06/30/89,1989-06-30,1989
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,4,06/30/89,1989-06-30,1989
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,19,06/30/89,1989-06-30,1989
,TOTAL,,SIXTH CIRCUIT,202,06/30/89,1989-06-30,1989
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,5,06/30/89,1989-06-30,1989
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,12,06/30/89,1989-06-30,1989
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,50,06/30/89,1989-06-30,1989
