STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE,FISCAL_YEAR
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,9,09/30/94,1994-09-30,1994
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,3,09/30/94,1994-09-30,1994
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,35,09/30/94,1994-09-30,1994
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,11,09/30/94,1994-09-30,1994
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,7,09/30/94,1994-09-30,1994
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,9,09/30/94,1994-09-30,1994
,TOTAL,,SIXTH CIRCUIT,96,09/30/94,1994-09-30,1994
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,2,09/30/94,1994-09-30,1994
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,10,09/30/94,1994-09-30,1994
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,14,09/30/94,1994-09-30,1994
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,20,09/30/94,1994-09-30,1994
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,13,09/30/94,1994-09-30,1994
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,15,09/30/94,1994-09-30,1994
