STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,15,09/30/91,1991-09-30,NA,9,9
VERMONT,VERMONT,VT,SECOND CIRCUIT,16,09/30/91,1991-09-30,NA,5,5
NA,TOTAL,NA,THIRD CIRCUIT,21,09/30/91,1991-09-30,NA,6,6
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,09/30/91,1991-09-30,NA,0,0
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,6,09/30/91,1991-09-30,NA,1,1
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,2,09/30/91,1991-09-30,NA,2,2
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,6,09/30/91,1991-09-30,NA,1,1
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,7,09/30/91,1991-09-30,NA,2,2
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,09/30/91,1991-09-30,NA,0,0
NA,TOTAL,NA,FOURTH CIRCUIT,41,09/30/91,1991-09-30,NA,8,8
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,3,09/30/91,1991-09-30,NA,1,1
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,15,09/30/91,1991-09-30,NA,3,3
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,1,09/30/91,1991-09-30,NA,0,0
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,6,09/30/91,1991-09-30,NA,0,0
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,6,09/30/91,1991-09-30,NA,1,1
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,4,09/30/91,1991-09-30,NA,2,2
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,4,09/30/91,1991-09-30,NA,1,1
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,09/30/91,1991-09-30,NA,0,0
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,09/30/91,1991-09-30,NA,0,0
NA,TOTAL,NA,FIFTH CIRCUIT,233,09/30/91,1991-09-30,NA,52,52
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3,09/30/91,1991-09-30,NA,7,7
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,1,09/30/91,1991-09-30,NA,0,0
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,80,09/30/91,1991-09-30,NA,18,18
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,30,09/30/91,1991-09-30,NA,5,5
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,11,09/30/91,1991-09-30,NA,5,5
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,59,09/30/91,1991-09-30,NA,12,12
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,8,09/30/91,1991-09-30,NA,2,2
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,13,09/30/91,1991-09-30,NA,1,1
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,28,09/30/91,1991-09-30,NA,8,8
NA,TOTAL,NA,SIXTH CIRCUIT,158,09/30/91,1991-09-30,NA,46,46
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,9,09/30/91,1991-09-30,NA,5,5
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,8,09/30/91,1991-09-30,NA,1,1
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,23,09/30/91,1991-09-30,NA,7,7
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,26,09/30/91,1991-09-30,NA,13,13
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,31,09/30/91,1991-09-30,NA,5,5
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,30,09/30/91,1991-09-30,NA,7,7
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,14,09/30/91,1991-09-30,NA,4,4
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,8,09/30/91,1991-09-30,NA,3,3
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,9,09/30/91,1991-09-30,NA,1,1
NA,TOTAL,NA,SEVENTH CIRCUIT,154,09/30/91,1991-09-30,NA,27,27
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,6,09/30/91,1991-09-30,NA,1,1
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,30,09/30/91,1991-09-30,NA,3,3
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,19,09/30/91,1991-09-30,NA,4,4
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,16,09/30/91,1991-09-30,NA,1,1
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,23,09/30/91,1991-09-30,NA,3,3
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,24,09/30/91,1991-09-30,NA,5,5
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,36,09/30/91,1991-09-30,NA,10,10
NA,TOTAL,NA,EIGHTH CIRCUIT,294,09/30/91,1991-09-30,NA,63,63
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,20,09/30/91,1991-09-30,NA,6,6
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,19,09/30/91,1991-09-30,NA,5,5
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,14,09/30/91,1991-09-30,NA,4,4
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,6,09/30/91,1991-09-30,NA,1,1
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,39,09/30/91,1991-09-30,NA,6,6
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,7,09/30/91,1991-09-30,NA,2,2
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,32,09/30/91,1991-09-30,NA,8,8
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,67,09/30/91,1991-09-30,NA,14,14
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,43,09/30/91,1991-09-30,NA,8,8
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,47,09/30/91,1991-09-30,NA,8,8
NA,TOTAL,NA,NINTH CIRCUIT,225,09/30/91,1991-09-30,NA,52,52
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,09/30/91,1991-09-30,NA,-1,-1
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,24,09/30/91,1991-09-30,NA,5,5
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,6,09/30/91,1991-09-30,NA,2,2
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,43,09/30/91,1991-09-30,NA,14,14
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,6,09/30/91,1991-09-30,NA,2,2
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,4,09/30/91,1991-09-30,NA,1,1
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,09/30/91,1991-09-30,NA,0,0
IDAHO,IDAHO,ID,NINTH CIRCUIT,41,09/30/91,1991-09-30,NA,10,10
MONTANA,MONTANA,MT,NINTH CIRCUIT,45,09/30/91,1991-09-30,NA,6,6
NEVADA,NEVADA,NV,NINTH CIRCUIT,1,09/30/91,1991-09-30,NA,0,0
OREGON,OREGON,OR,NINTH CIRCUIT,16,09/30/91,1991-09-30,NA,6,6
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,33,09/30/91,1991-09-30,NA,6,6
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,6,09/30/91,1991-09-30,NA,1,1
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,09/30/91,1991-09-30,NA,0,0
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,09/30/91,1991-09-30,NA,0,0
NA,TOTAL,NA,TENTH CIRCUIT,139,09/30/91,1991-09-30,NA,36,36
COLORADO,COLORADO,CO,TENTH CIRCUIT,23,09/30/91,1991-09-30,NA,8,8
KANSAS,KANSAS,KS,TENTH CIRCUIT,28,09/30/91,1991-09-30,NA,6,6
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,8,09/30/91,1991-09-30,NA,3,3
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,5,09/30/91,1991-09-30,NA,1,1
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,9,09/30/91,1991-09-30,NA,1,1
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,51,09/30/91,1991-09-30,NA,13,13
UTAH,UTAH,UT,TENTH CIRCUIT,9,09/30/91,1991-09-30,NA,2,2
WYOMING,WYOMING,WY,TENTH CIRCUIT,6,09/30/91,1991-09-30,NA,2,2
NA,TOTAL,NA,ELEVENTH CIRCUIT,131,09/30/91,1991-09-30,NA,31,31
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,15,09/30/91,1991-09-30,NA,8,8
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,2,09/30/91,1991-09-30,NA,0,0
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,5,09/30/91,1991-09-30,NA,2,2
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,15,09/30/91,1991-09-30,NA,0,0
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,19,09/30/91,1991-09-30,NA,5,5
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,4,09/30/91,1991-09-30,NA,0,0
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,4,09/30/91,1991-09-30,NA,2,2
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,40,09/30/91,1991-09-30,NA,7,7
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,27,09/30/91,1991-09-30,NA,7,7
NA,TOTAL,NA,TOTAL,1358,06/30/91,1991-06-30,NA,386,386
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
NA,TOTAL,NA,FIRST CIRCUIT,12,06/30/91,1991-06-30,NA,4,4
MAINE,MAINE,ME,FIRST CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,2,06/30/91,1991-06-30,NA,0,0
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,06/30/91,1991-06-30,NA,0,0
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,9,06/30/91,1991-06-30,NA,4,4
NA,TOTAL,NA,SECOND CIRCUIT,32,06/30/91,1991-06-30,NA,11,11
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,06/30/91,1991-06-30,NA,0,0
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,10,06/30/91,1991-06-30,NA,3,3
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,2,06/30/91,1991-06-30,NA,0,0
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,8,06/30/91,1991-06-30,NA,2,2
VERMONT,VERMONT,VT,SECOND CIRCUIT,11,06/30/91,1991-06-30,NA,6,6
NA,TOTAL,NA,THIRD CIRCUIT,20,06/30/91,1991-06-30,NA,5,5
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,5,06/30/91,1991-06-30,NA,0,0
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,7,06/30/91,1991-06-30,NA,3,3
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,8,06/30/91,1991-06-30,NA,2,2
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
NA,TOTAL,NA,FOURTH CIRCUIT,46,06/30/91,1991-06-30,NA,13,13
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,5,06/30/91,1991-06-30,NA,2,2
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,17,06/30/91,1991-06-30,NA,3,3
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,3,06/30/91,1991-06-30,NA,0,0
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,7,06/30/91,1991-06-30,NA,3,3
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,5,06/30/91,1991-06-30,NA,3,3
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,2,06/30/91,1991-06-30,NA,-1,-1
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,5,06/30/91,1991-06-30,NA,2,2
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,06/30/91,1991-06-30,NA,0,0
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,1,06/30/91,1991-06-30,NA,1,1
NA,TOTAL,NA,FIFTH CIRCUIT,221,06/30/91,1991-06-30,NA,58,58
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3,06/30/91,1991-06-30,NA,-6,-6
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,2,06/30/91,1991-06-30,NA,0,0
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,72,06/30/91,1991-06-30,NA,17,17
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,32,06/30/91,1991-06-30,NA,7,7
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,7,06/30/91,1991-06-30,NA,3,3
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,56,06/30/91,1991-06-30,NA,20,20
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,11,06/30/91,1991-06-30,NA,3,3
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,15,06/30/91,1991-06-30,NA,1,1
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,23,06/30/91,1991-06-30,NA,7,7
NA,TOTAL,NA,SIXTH CIRCUIT,143,06/30/91,1991-06-30,NA,39,39
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,4,06/30/91,1991-06-30,NA,2,2
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,10,06/30/91,1991-06-30,NA,2,2
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,22,06/30/91,1991-06-30,NA,6,6
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,19,06/30/91,1991-06-30,NA,5,5
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,29,06/30/91,1991-06-30,NA,11,11
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,30,06/30/91,1991-06-30,NA,6,6
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,13,06/30/91,1991-06-30,NA,4,4
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,7,06/30/91,1991-06-30,NA,2,2
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,9,06/30/91,1991-06-30,NA,1,1
NA,TOTAL,NA,SEVENTH CIRCUIT,150,06/30/91,1991-06-30,NA,54,54
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,6,06/30/91,1991-06-30,NA,4,4
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,29,06/30/91,1991-06-30,NA,12,12
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,19,06/30/91,1991-06-30,NA,9,9
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,16,06/30/91,1991-06-30,NA,7,7
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,23,06/30/91,1991-06-30,NA,7,7
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,21,06/30/91,1991-06-30,NA,5,5
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,36,06/30/91,1991-06-30,NA,10,10
NA,TOTAL,NA,EIGHTH CIRCUIT,283,06/30/91,1991-06-30,NA,89,89
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,17,06/30/91,1991-06-30,NA,6,6
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,17,06/30/91,1991-06-30,NA,5,5
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,13,06/30/91,1991-06-30,NA,3,3
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,8,06/30/91,1991-06-30,NA,1,1
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,41,06/30/91,1991-06-30,NA,14,14
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,6,06/30/91,1991-06-30,NA,1,1
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,26,06/30/91,1991-06-30,NA,10,10
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,66,06/30/91,1991-06-30,NA,23,23
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,42,06/30/91,1991-06-30,NA,13,13
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,47,06/30/91,1991-06-30,NA,13,13
NA,TOTAL,NA,NINTH CIRCUIT,203,06/30/91,1991-06-30,NA,48,48
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/91,1991-06-30,NA,1,1
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,20,06/30/91,1991-06-30,NA,4,4
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,5,06/30/91,1991-06-30,NA,2,2
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,34,06/30/91,1991-06-30,NA,11,11
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,4,06/30/91,1991-06-30,NA,-2,-2
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,4,06/30/91,1991-06-30,NA,1,1
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
IDAHO,IDAHO,ID,NINTH CIRCUIT,37,06/30/91,1991-06-30,NA,10,10
MONTANA,MONTANA,MT,NINTH CIRCUIT,44,06/30/91,1991-06-30,NA,6,6
NEVADA,NEVADA,NV,NINTH CIRCUIT,1,06/30/91,1991-06-30,NA,0,0
OREGON,OREGON,OR,NINTH CIRCUIT,14,06/30/91,1991-06-30,NA,4,4
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,35,06/30/91,1991-06-30,NA,7,7
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,5,06/30/91,1991-06-30,NA,4,4
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/91,1991-06-30,NA,0,0
NA,TOTAL,NA,TENTH CIRCUIT,128,06/30/91,1991-06-30,NA,40,40
COLORADO,COLORADO,CO,TENTH CIRCUIT,17,06/30/91,1991-06-30,NA,1,1
KANSAS,KANSAS,KS,TENTH CIRCUIT,27,06/30/91,1991-06-30,NA,11,11
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,6,06/30/91,1991-06-30,NA,1,1
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,4,06/30/91,1991-06-30,NA,1,1
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,13,06/30/91,1991-06-30,NA,2,2
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,48,06/30/91,1991-06-30,NA,19,19
UTAH,UTAH,UT,TENTH CIRCUIT,8,06/30/91,1991-06-30,NA,2,2
WYOMING,WYOMING,WY,TENTH CIRCUIT,5,06/30/91,1991-06-30,NA,3,3
NA,TOTAL,NA,ELEVENTH CIRCUIT,120,06/30/91,1991-06-30,NA,25,25
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,10,06/30/91,1991-06-30,NA,12,12
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,2,06/30/91,1991-06-30,NA,-2,-2
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4,06/30/91,1991-06-30,NA,-1,-1
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,16,06/30/91,1991-06-30,NA,8,8
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,15,06/30/91,1991-06-30,NA,-6,-6
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,5,06/30/91,1991-06-30,NA,-4,-4
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,4,06/30/91,1991-06-30,NA,1,1
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,36,06/30/91,1991-06-30,NA,19,19
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,28,06/30/91,1991-06-30,NA,-2,-2
NA,TOTAL,NA,TOTAL,1321,03/31/91,1991-03-31,NA,404,404
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,03/31/91,1991-03-31,NA,0,0
NA,TOTAL,NA,FIRST CIRCUIT,13,03/31/91,1991-03-31,NA,2,2
MAINE,MAINE,ME,FIRST CIRCUIT,0,03/31/91,1991-03-31,NA,0,0
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,2,03/31/91,1991-03-31,NA,1,1
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,03/31/91,1991-03-31,NA,0,0
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,03/31/91,1991-03-31,NA,0,0
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,10,03/31/91,1991-03-31,NA,1,1
NA,TOTAL,NA,SECOND CIRCUIT,27,03/31/91,1991-03-31,NA,10,10
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,03/31/91,1991-03-31,NA,0,0
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,8,03/31/91,1991-03-31,NA,4,4
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,03/31/91,1991-03-31,NA,0,0
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,3,03/31/91,1991-03-31,NA,1,1
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,10,03/31/91,1991-03-31,NA,3,3
VERMONT,VERMONT,VT,SECOND CIRCUIT,5,03/31/91,1991-03-31,NA,2,2
NA,TOTAL,NA,THIRD CIRCUIT,16,03/31/91,1991-03-31,NA,5,5
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,03/31/91,1991-03-31,NA,0,0
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,4,03/31/91,1991-03-31,NA,2,2
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,1,03/31/91,1991-03-31,NA,0,0
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,4,03/31/91,1991-03-31,NA,1,1
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,7,03/31/91,1991-03-31,NA,2,2
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,03/31/91,1991-03-31,NA,0,0
NA,TOTAL,NA,FOURTH CIRCUIT,47,03/31/91,1991-03-31,NA,12,12
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4,03/31/91,1991-03-31,NA,0,0
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,26,03/31/91,1991-03-31,NA,5,5
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,4,03/31/91,1991-03-31,NA,1,1
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,4,03/31/91,1991-03-31,NA,1,1
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,3,03/31/91,1991-03-31,NA,2,2
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,2,03/31/91,1991-03-31,NA,1,1
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,3,03/31/91,1991-03-31,NA,1,1
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,1,03/31/91,1991-03-31,NA,1,1
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,03/31/91,1991-03-31,NA,0,0
NA,TOTAL,NA,FIFTH CIRCUIT,211,03/31/91,1991-03-31,NA,79,79
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3,03/31/91,1991-03-31,NA,3,3
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,3,03/31/91,1991-03-31,NA,0,0
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,77,03/31/91,1991-03-31,NA,34,34
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,30,03/31/91,1991-03-31,NA,13,13
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,8,03/31/91,1991-03-31,NA,1,1
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,45,03/31/91,1991-03-31,NA,16,16
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,10,03/31/91,1991-03-31,NA,2,2
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,17,03/31/91,1991-03-31,NA,4,4
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,18,03/31/91,1991-03-31,NA,6,6
NA,TOTAL,NA,SIXTH CIRCUIT,139,03/31/91,1991-03-31,NA,45,45
