STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,10,06/30/97,1997-06-30,3,3,NA
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,5,06/30/97,1997-06-30,2,2,NA
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/97,1997-06-30,0,0,NA
NA,TOTAL,NA,TENTH CIRCUIT,114,06/30/97,1997-06-30,22,22,NA
COLORADO,COLORADO,CO,TENTH CIRCUIT,19,06/30/97,1997-06-30,4,4,NA
KANSAS,KANSAS,KS,TENTH CIRCUIT,24,06/30/97,1997-06-30,5,5,NA
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,9,06/30/97,1997-06-30,1,1,NA
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,3,06/30/97,1997-06-30,1,1,NA
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,15,06/30/97,1997-06-30,3,3,NA
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,34,06/30/97,1997-06-30,3,3,NA
UTAH,UTAH,UT,TENTH CIRCUIT,7,06/30/97,1997-06-30,3,3,NA
WYOMING,WYOMING,WY,TENTH CIRCUIT,3,06/30/97,1997-06-30,2,2,NA
NA,TOTAL,NA,ELEVENTH CIRCUIT,71,06/30/97,1997-06-30,18,18,NA
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,2,06/30/97,1997-06-30,0,0,NA
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,7,06/30/97,1997-06-30,4,4,NA
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,2,06/30/97,1997-06-30,1,1,NA
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,1,06/30/97,1997-06-30,0,0,NA
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11,06/30/97,1997-06-30,1,1,NA
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,2,06/30/97,1997-06-30,0,0,NA
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,5,06/30/97,1997-06-30,0,0,NA
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,34,06/30/97,1997-06-30,10,10,NA
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,7,06/30/97,1997-06-30,2,2,NA
NA,TOTAL,NA,TOTAL,1050,03/31/97,1997-03-31,282,282,NA
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
NA,TOTAL,NA,FIRST CIRCUIT,7,03/31/97,1997-03-31,2,2,NA
MAINE,MAINE,ME,FIRST CIRCUIT,3,03/31/97,1997-03-31,1,1,NA
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,1,03/31/97,1997-03-31,0,0,NA
