STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,0,12/31/01,2001-12-31
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,1,12/31/01,2001-12-31
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,1,12/31/01,2001-12-31
,TOTAL,,TOTAL,194,09/30/01,2001-09-30
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,FIRST CIRCUIT,1,09/30/01,2001-09-30
MAINE,MAINE,ME,FIRST CIRCUIT,0,09/30/01,2001-09-30
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,1,09/30/01,2001-09-30
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,09/30/01,2001-09-30
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,09/30/01,2001-09-30
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,SECOND CIRCUIT,2,09/30/01,2001-09-30
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,0,09/30/01,2001-09-30
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,2,09/30/01,2001-09-30
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,09/30/01,2001-09-30
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,09/30/01,2001-09-30
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,0,09/30/01,2001-09-30
VERMONT,VERMONT,VT,SECOND CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,THIRD CIRCUIT,3,09/30/01,2001-09-30
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,09/30/01,2001-09-30
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,0,09/30/01,2001-09-30
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,2,09/30/01,2001-09-30
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,0,09/30/01,2001-09-30
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,1,09/30/01,2001-09-30
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,FOURTH CIRCUIT,8,09/30/01,2001-09-30
