STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,QTR_ENDED,DATE,FISCAL_YEAR
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,6898,5715,67,9,1107,518,333,66,9,110,6380,5382,1,997,09/30/97,1997-09-30,1997
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,25674,20443,270,4,4957,913,499,244,4,166,24761,19944,26,4791,09/30/97,1997-09-30,1997
GUAM,GUAM,GUAM,NINTH CIRCUIT,111,88,2,0,21,23,21,2,0,0,88,67,0,21,09/30/97,1997-09-30,1997
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,4,4,0,0,0,2,2,0,0,0,2,2,0,0,09/30/97,1997-09-30,1997
COLORADO,COLORADO,CO,TENTH CIRCUIT,18722,15168,123,23,3406,625,432,119,23,49,18097,14736,4,3357,09/30/97,1997-09-30,1997
KANSAS,KANSAS,KS,TENTH CIRCUIT,12856,10110,72,22,2652,416,229,66,22,99,12440,9881,6,2553,09/30/97,1997-09-30,1997
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,7259,5152,59,7,2041,404,230,54,7,113,6855,4922,5,1928,09/30/97,1997-09-30,1997
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,5955,4898,42,5,1010,648,483,39,5,121,5307,4415,3,889,09/30/97,1997-09-30,1997
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,3231,2905,18,16,291,157,96,18,16,26,3074,2809,0,265,09/30/97,1997-09-30,1997
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,12645,9961,64,33,2587,605,391,63,33,118,12040,9570,1,2469,09/30/97,1997-09-30,1997
UTAH,UTAH,UT,TENTH CIRCUIT,11442,6426,66,7,4943,411,229,63,7,112,11031,6197,3,4831,09/30/97,1997-09-30,1997
WYOMING,WYOMING,WY,TENTH CIRCUIT,2054,1802,15,3,234,94,52,14,3,25,1960,1750,1,209,09/30/97,1997-09-30,1997
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,22518,8226,95,2,14195,438,171,87,2,178,22080,8055,8,14017,09/30/97,1997-09-30,1997
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,6634,2602,27,8,3997,276,131,27,8,110,6358,2471,0,3887,09/30/97,1997-09-30,1997
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4822,2141,31,1,2649,185,72,28,1,84,4637,2069,3,2565,09/30/97,1997-09-30,1997
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,4563,3739,41,1,782,125,56,37,1,31,4438,3683,4,751,09/30/97,1997-09-30,1997
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,41253,32785,338,10,8119,1213,641,302,10,259,40040,32144,36,7860,09/30/97,1997-09-30,1997
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,24867,18876,331,3,5654,774,441,303,3,24,24093,18435,28,5630,09/30/97,1997-09-30,1997
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,34257,12888,209,4,21156,1173,487,192,4,490,33084,12401,17,20666,09/30/97,1997-09-30,1997
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,14782,5288,43,33,9418,180,55,41,33,51,14602,5233,2,9367,09/30/97,1997-09-30,1997
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,12265,2743,33,9,9480,350,126,32,9,183,11915,2617,1,9297,09/30/97,1997-09-30,1997
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,2852,1928,55,0,869,85,28,47,0,10,2767,1900,8,859,09/30/98,1998-09-30,1998
MAINE,MAINE,ME,FIRST CIRCUIT,4511,4118,18,2,373,247,171,18,2,56,4264,3947,0,317,09/30/98,1998-09-30,1998
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,22140,19011,235,1,2892,808,495,233,1,78,21332,18516,2,2814,09/30/98,1998-09-30,1998
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,4986,4641,32,0,313,414,366,31,0,17,4572,4275,1,296,09/30/98,1998-09-30,1998
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,5446,5162,16,0,268,145,119,15,0,11,5301,5043,1,257,09/30/98,1998-09-30,1998
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,18072,5528,83,0,12461,141,80,60,0,1,17931,5448,23,12460,09/30/98,1998-09-30,1998
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,13876,12346,108,2,1419,178,89,83,2,3,13698,12257,25,1416,09/30/98,1998-09-30,1998
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,16571,14124,61,18,2368,596,395,56,18,127,15975,13729,5,2241,09/30/98,1998-09-30,1998
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,31047,25332,304,0,5410,509,235,262,0,11,30538,25097,42,5399,09/30/98,1998-09-30,1998
