"FIPS","COUNTY","STATE","DISTRICT","CIRCUIT"
"01099","MONROE","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01101","MONTGOMERY","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01103","MORGAN","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01105","PERRY","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01107","PICKENS","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01109","PIKE","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01111","RANDOLPH","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01113","RUSSELL","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01115","ST. CLAIR","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01117","SHELBY","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01119","SUMTER","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01121","TALLADEGA","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01123","TALLAPOOSA","ALABAMA","ALABAMA MIDDLE","ELEVENTH CIRCUIT"
"01125","TUSCALOOSA","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01127","WALKER","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"01129","WASHINGTON","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01131","WILCOX","ALABAMA","ALABAMA SOUTHERN","ELEVENTH CIRCUIT"
"01133","WINSTON","ALABAMA","ALABAMA NORTHERN","ELEVENTH CIRCUIT"
"02013","ALEUTIANS EAST (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02016","ALEUTIANS WEST (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02020","ANCHORAGE (MUNICIPALITY)","ALASKA","ALASKA","NINTH CIRCUIT"
"02050","BETHEL (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02060","BRISTOL BAY (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02068","DENALI (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02070","DILLINGHAM (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02090","FAIRBANKS NORTH STAR (BOR)","ALASKA","ALASKA","NINTH CIRCUIT"
"02100","HAINES (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02105","HOONAH-ANGOON (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02110","JUNEAU (CITY AND BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02122","KENAI PENINSULA (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02130","KETCHIKAN GATEWAY (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02150","KODIAK ISLAND (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02164","LAKE AND PENINSULA (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02170","MATANUSKA-SUSITNA (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02180","NOME (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02185","NORTH SLOPE (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02188","NORTHWEST ARCTIC (BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02195","PETERSBURG (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02198","PRINCE OF WALES-HYDER (CENSUS)","ALASKA","ALASKA","NINTH CIRCUIT"
"02220","SITKA (CITY AND BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02230","SKAGWAY (MUNICIPALITY)","ALASKA","ALASKA","NINTH CIRCUIT"
"02240","SOUTHEAST FAIRBANKS (CENSUS)","ALASKA","ALASKA","NINTH CIRCUIT"
"02261","VALDEZ-CORDOVA (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02270","WADE HAMPTON (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"02275","WRANGELL (CITY AND BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02282","YAKUTAT (CITY AND BOROUGH)","ALASKA","ALASKA","NINTH CIRCUIT"
"02290","YUKON-KOYUKUK (CENSUS AREA)","ALASKA","ALASKA","NINTH CIRCUIT"
"04001","APACHE","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04003","COCHISE","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04005","COCONINO","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04007","GILA","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04009","GRAHAM","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04011","GREENLEE","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04012","LA PAZ","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04013","MARICOPA","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04015","MOHAVE","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04017","NAVAJO","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04019","PIMA","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04021","PINAL","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04023","SANTA CRUZ","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04025","YAVAPAI","ARIZONA","ARIZONA","NINTH CIRCUIT"
"04027","YUMA","ARIZONA","ARIZONA","NINTH CIRCUIT"
"05001","ARKANSAS","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05003","ASHLEY","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05005","BAXTER","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05007","BENTON","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05009","BOONE","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05011","BRADLEY","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05013","CALHOUN","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05015","CARROLL","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05017","CHICOT","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05019","CLARK","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05021","CLAY","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05023","CLEBURNE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05025","CLEVELAND","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05027","COLUMBIA","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05029","CONWAY","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05031","CRAIGHEAD","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05033","CRAWFORD","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05035","CRITTENDEN","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05037","CROSS","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05039","DALLAS","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05041","DESHA","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05043","DREW","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05045","FAULKNER","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05047","FRANKLIN","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05049","FULTON","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05051","GARLAND","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05053","GRANT","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05055","GREENE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05057","HEMPSTEAD","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05059","HOT SPRING","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05061","HOWARD","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05063","INDEPENDENCE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05065","IZARD","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05067","JACKSON","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05069","JEFFERSON","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05071","JOHNSON","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05073","LAFAYETTE","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05075","LAWRENCE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05077","LEE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05079","LINCOLN","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05081","LITTLE RIVER","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05083","LOGAN","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05085","LONOKE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05087","MADISON","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05089","MARION","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05091","MILLER","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05093","MISSISSIPPI","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05095","MONROE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05097","MONTGOMERY","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05099","NEVADA","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05101","NEWTON","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05103","OUACHITA","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05105","PERRY","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05107","PHILLIPS","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05109","PIKE","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05111","POINSETT","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05113","POLK","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05115","POPE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05117","PRAIRIE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05119","PULASKI","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05121","RANDOLPH","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05123","ST. FRANCIS","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05125","SALINE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05127","SCOTT","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05129","SEARCY","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05131","SEBASTIAN","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05133","SEVIER","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05135","SHARP","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05137","STONE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05139","UNION","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05141","VAN BUREN","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05143","WASHINGTON","ARKANSAS","ARKANSAS WESTERN","EIGHTH CIRCUIT"
"05145","WHITE","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05147","WOODRUFF","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"05149","YELL","ARKANSAS","ARKANSAS EASTERN","EIGHTH CIRCUIT"
"06001","ALAMEDA","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06003","ALPINE","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06005","AMADOR","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06007","BUTTE","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06009","CALAVERAS","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06011","COLUSA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06013","CONTRA COSTA","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06015","DEL NORTE","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06017","EL DORADO","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06019","FRESNO","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06021","GLENN","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06023","HUMBOLDT","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06025","IMPERIAL","CALIFORNIA","CALIFORNIA SOUTHERN","NINTH CIRCUIT"
"06027","INYO","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06029","KERN","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06031","KINGS","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06033","LAKE","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06035","LASSEN","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06037","LOS ANGELES","CALIFORNIA","CALIFORNIA CENTRAL","NINTH CIRCUIT"
"06039","MADERA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06041","MARIN","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06043","MARIPOSA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06045","MENDOCINO","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06047","MERCED","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06049","MODOC","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06051","MONO","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06053","MONTEREY","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06055","NAPA","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06057","NEVADA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06059","ORANGE","CALIFORNIA","CALIFORNIA CENTRAL","NINTH CIRCUIT"
"06061","PLACER","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06063","PLUMAS","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06065","RIVERSIDE","CALIFORNIA","CALIFORNIA CENTRAL","NINTH CIRCUIT"
"06067","SACRAMENTO","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06069","SAN BENITO","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06071","SAN BERNARDINO","CALIFORNIA","CALIFORNIA CENTRAL","NINTH CIRCUIT"
"06073","SAN DIEGO","CALIFORNIA","CALIFORNIA SOUTHERN","NINTH CIRCUIT"
"06075","SAN FRANCISCO","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06077","SAN JOAQUIN","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06079","SAN LUIS OBISPO","CALIFORNIA","CALIFORNIA CENTRAL","NINTH CIRCUIT"
"06081","SAN MATEO","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06083","SANTA BARBARA","CALIFORNIA","CALIFORNIA CENTRAL","NINTH CIRCUIT"
"06085","SANTA CLARA","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06087","SANTA CRUZ","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06089","SHASTA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06091","SIERRA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06093","SISKIYOU","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06095","SOLANO","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06097","SONOMA","CALIFORNIA","CALIFORNIA NORTHERN","NINTH CIRCUIT"
"06099","STANISLAUS","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06101","SUTTER","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06103","TEHAMA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06105","TRINITY","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06107","TULARE","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06109","TUOLUMNE","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06111","VENTURA","CALIFORNIA","CALIFORNIA CENTRAL","NINTH CIRCUIT"
"06113","YOLO","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"06115","YUBA","CALIFORNIA","CALIFORNIA EASTERN","NINTH CIRCUIT"
"08001","ADAMS","COLORADO","COLORADO","TENTH CIRCUIT"
"08003","ALAMOSA","COLORADO","COLORADO","TENTH CIRCUIT"
"08005","ARAPAHOE","COLORADO","COLORADO","TENTH CIRCUIT"
"08007","ARCHULETA","COLORADO","COLORADO","TENTH CIRCUIT"
"08009","BACA","COLORADO","COLORADO","TENTH CIRCUIT"
"08011","BENT","COLORADO","COLORADO","TENTH CIRCUIT"
"08013","BOULDER","COLORADO","COLORADO","TENTH CIRCUIT"
"08014","BROOMFIELD","COLORADO","COLORADO","TENTH CIRCUIT"
"08015","CHAFFEE","COLORADO","COLORADO","TENTH CIRCUIT"
"08017","CHEYENNE","COLORADO","COLORADO","TENTH CIRCUIT"
"08019","CLEAR CREEK","COLORADO","COLORADO","TENTH CIRCUIT"
"08021","CONEJOS","COLORADO","COLORADO","TENTH CIRCUIT"
"08023","COSTILLA","COLORADO","COLORADO","TENTH CIRCUIT"
"08025","CROWLEY","COLORADO","COLORADO","TENTH CIRCUIT"
"08027","CUSTER","COLORADO","COLORADO","TENTH CIRCUIT"
"08029","DELTA","COLORADO","COLORADO","TENTH CIRCUIT"
"08031","DENVER","COLORADO","COLORADO","TENTH CIRCUIT"
"08033","DOLORES","COLORADO","COLORADO","TENTH CIRCUIT"
"08035","DOUGLAS","COLORADO","COLORADO","TENTH CIRCUIT"
"08037","EAGLE","COLORADO","COLORADO","TENTH CIRCUIT"
"08039","ELBERT","COLORADO","COLORADO","TENTH CIRCUIT"
"08041","EL PASO","COLORADO","COLORADO","TENTH CIRCUIT"
"08043","FREMONT","COLORADO","COLORADO","TENTH CIRCUIT"
"08045","GARFIELD","COLORADO","COLORADO","TENTH CIRCUIT"
"08047","GILPIN","COLORADO","COLORADO","TENTH CIRCUIT"
"08049","GRAND","COLORADO","COLORADO","TENTH CIRCUIT"
"08051","GUNNISON","COLORADO","COLORADO","TENTH CIRCUIT"
"08053","HINSDALE","COLORADO","COLORADO","TENTH CIRCUIT"
"08055","HUERFANO","COLORADO","COLORADO","TENTH CIRCUIT"
"08057","JACKSON","COLORADO","COLORADO","TENTH CIRCUIT"
"08059","JEFFERSON","COLORADO","COLORADO","TENTH CIRCUIT"
"08061","KIOWA","COLORADO","COLORADO","TENTH CIRCUIT"
"08063","KIT CARSON","COLORADO","COLORADO","TENTH CIRCUIT"
"08065","LAKE","COLORADO","COLORADO","TENTH CIRCUIT"
"08067","LA PLATA","COLORADO","COLORADO","TENTH CIRCUIT"
"08069","LARIMER","COLORADO","COLORADO","TENTH CIRCUIT"
"08071","LAS ANIMAS","COLORADO","COLORADO","TENTH CIRCUIT"
"08073","LINCOLN","COLORADO","COLORADO","TENTH CIRCUIT"
"08075","LOGAN","COLORADO","COLORADO","TENTH CIRCUIT"
"08077","MESA","COLORADO","COLORADO","TENTH CIRCUIT"
"08079","MINERAL","COLORADO","COLORADO","TENTH CIRCUIT"
"08081","MOFFAT","COLORADO","COLORADO","TENTH CIRCUIT"
"08083","MONTEZUMA","COLORADO","COLORADO","TENTH CIRCUIT"
"08085","MONTROSE","COLORADO","COLORADO","TENTH CIRCUIT"
"08087","MORGAN","COLORADO","COLORADO","TENTH CIRCUIT"
"08089","OTERO","COLORADO","COLORADO","TENTH CIRCUIT"
"08091","OURAY","COLORADO","COLORADO","TENTH CIRCUIT"
"08093","PARK","COLORADO","COLORADO","TENTH CIRCUIT"
"08095","PHILLIPS","COLORADO","COLORADO","TENTH CIRCUIT"
"08097","PITKIN","COLORADO","COLORADO","TENTH CIRCUIT"
"08099","PROWERS","COLORADO","COLORADO","TENTH CIRCUIT"
"08101","PUEBLO","COLORADO","COLORADO","TENTH CIRCUIT"
"08103","RIO BLANCO","COLORADO","COLORADO","TENTH CIRCUIT"
"08105","RIO GRANDE","COLORADO","COLORADO","TENTH CIRCUIT"
"08107","ROUTT","COLORADO","COLORADO","TENTH CIRCUIT"
"08109","SAGUACHE","COLORADO","COLORADO","TENTH CIRCUIT"
"08111","SAN JUAN","COLORADO","COLORADO","TENTH CIRCUIT"
"08113","SAN MIGUEL","COLORADO","COLORADO","TENTH CIRCUIT"
"08115","SEDGWICK","COLORADO","COLORADO","TENTH CIRCUIT"
"08117","SUMMIT","COLORADO","COLORADO","TENTH CIRCUIT"
"08119","TELLER","COLORADO","COLORADO","TENTH CIRCUIT"
"08121","WASHINGTON","COLORADO","COLORADO","TENTH CIRCUIT"
"08123","WELD","COLORADO","COLORADO","TENTH CIRCUIT"
"08125","YUMA","COLORADO","COLORADO","TENTH CIRCUIT"
"09001","FAIRFIELD","CONNECTICUT","CONNECTICUT","SECOND CIRCUIT"
"09003","HARTFORD","CONNECTICUT","CONNECTICUT","SECOND CIRCUIT"
"09005","LITCHFIELD","CONNECTICUT","CONNECTICUT","SECOND CIRCUIT"
"09007","MIDDLESEX","CONNECTICUT","CONNECTICUT","SECOND CIRCUIT"
"09009","NEW HAVEN","CONNECTICUT","CONNECTICUT","SECOND CIRCUIT"
"09011","NEW LONDON","CONNECTICUT","CONNECTICUT","SECOND CIRCUIT"
